run_name,DLNTDR_1,DLNNDR_1,DLNTDR_2,DLNNDR_2,NU_EE,MASS_1,RMAJ,RMIN,Q,S,KAPPA,DELTA,GAMMA_E,BETAE_UNIT,MACH,KY,DRMAJDR,S_KAPPA,S_DELTA
2019_03-isotope_d_an2_q1_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,0.5,1.6,0.8,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_an2_q3_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,0.5,3.0,1.5,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_an2_q4_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,0.5,4.0,2.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_an6_q1_filtered,3.0,3.0,3.0,3.0,0.1,1.0,3.0,0.5,1.6,0.8,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_an6_q3_filtered,3.0,3.0,3.0,3.0,0.1,1.0,3.0,0.5,3.0,1.5,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_an6_q4_filtered,3.0,3.0,3.0,3.0,0.1,1.0,3.0,0.5,4.0,2.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_h_an2_q1_filtered,3.0,1.0,3.0,1.0,0.1,0.5,3.0,0.5,1.6,0.8,1.0,0.0,0.0,0.0005,0.0,1.4212499856948853,0.0,0.0,0.0
2019_03-isotope_h_an2_q3_filtered,3.0,1.0,3.0,1.0,0.1,0.5,3.0,0.5,3.0,1.5,1.0,0.0,0.0,0.0005,0.0,1.4212499856948853,0.0,0.0,0.0
2019_03-isotope_h_an2_q4_filtered,3.0,1.0,3.0,1.0,0.1,0.5,3.0,0.5,4.0,2.0,1.0,0.0,0.0,0.0005,0.0,1.4212499856948853,0.0,0.0,0.0
2019_03-isotope_h_an6_q1_filtered,3.0,3.0,3.0,3.0,0.1,0.5,3.0,0.5,1.6,0.8,1.0,0.0,0.0,0.0005,0.0,1.4212499856948853,0.0,0.0,0.0
2019_03-isotope_h_an6_q3_filtered,3.0,3.0,3.0,3.0,0.1,0.5,3.0,0.5,3.0,1.5,1.0,0.0,0.0,0.0005,0.0,1.4212499856948853,0.0,0.0,0.0
2019_03-isotope_h_an6_q4_filtered,3.0,3.0,3.0,3.0,0.1,0.5,3.0,0.5,4.0,2.0,1.0,0.0,0.0,0.0005,0.0,1.4212499856948853,0.0,0.0,0.0
2019_03-isotope_t_an2_q1_filtered,3.0,1.0,3.0,1.0,0.1,1.5,3.0,0.5,1.6,0.8,1.0,0.0,0.0,0.0005,0.0,0.8205000162124634,0.0,0.0,0.0
2019_03-isotope_t_an2_q3_filtered,3.0,1.0,3.0,1.0,0.1,1.5,3.0,0.5,3.0,1.5,1.0,0.0,0.0,0.0005,0.0,0.8205000162124634,0.0,0.0,0.0
2019_03-isotope_t_an2_q4_filtered,3.0,1.0,3.0,1.0,0.1,1.5,3.0,0.5,4.0,2.0,1.0,0.0,0.0,0.0005,0.0,0.8205000162124634,0.0,0.0,0.0
2019_03-isotope_t_an6_q1_filtered,3.0,3.0,3.0,3.0,0.1,1.5,3.0,0.5,1.6,0.8,1.0,0.0,0.0,0.0005,0.0,0.8205000162124634,0.0,0.0,0.0
2019_03-isotope_t_an6_q3_filtered,3.0,3.0,3.0,3.0,0.1,1.5,3.0,0.5,3.0,1.5,1.0,0.0,0.0,0.0005,0.0,0.8205000162124634,0.0,0.0,0.0
2019_03-isotope_t_an6_q4_filtered,3.0,3.0,3.0,3.0,0.1,1.5,3.0,0.5,4.0,2.0,1.0,0.0,0.0,0.0005,0.0,0.8205000162124634,0.0,0.0,0.0
2020_05-theta_diagnostic_a1_filtered,3.0,1.0,3.0,1.0,0.05,1.0,3.0,0.8,2.0,1.0,1.5,0.0,0.0,0.0005,0.0,1.5410000085830688,-0.25,0.0,0.0
2020_05-theta_diagnostic_a2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,3.0,0.8,2.0,1.0,1.5,0.0,0.0,0.0005,0.0,1.149999976158142,-0.25,0.0,0.0
2020_05-theta_diagnostic_a3_filtered,3.0,1.0,3.0,1.0,0.05,1.0,3.0,0.8,2.0,0.5,1.5,0.0,0.0,0.0005,0.0,1.149999976158142,-0.25,0.0,0.0
2020_09-rmin_r025_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,0.25,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2020_09-rmin_r075_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,0.75,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2020_09-rmin_r100_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2020_09-rmin_r125_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,1.25,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2020_09-rmin_r150_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,1.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
